anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2016,Basilicata,regione,Attività sportiva,554.0,124112.0,,,
2016,Calabria,regione,Attività sportiva,621.0,342758.0,,,
2016,Campania,regione,Attività sportiva,1641.0,1889381.0,,,
2016,Molise,regione,Attività sportiva,331.0,23276.0,,,
2016,Puglia,regione,Attività sportiva,1845.0,1345647.0,,,
2016,Sardegna,regione,Attività sportiva,1374.0,459334.0,,,
2016,Sicilia,regione,Attività sportiva,1504.0,993754.0,,,
2015,Liguria,regione,Attività sportiva,2093.0,1292239.0,,,
2015,Lombardia,regione,Attività sportiva,37102.0,5549070.0,,,
2015,Piemonte,regione,Attività sportiva,18045.0,2931393.0,,,
2015,Valle d'Aosta,regione,Attività sportiva,259.0,20150.0,,,
2015,Emilia-Romagna,regione,Attività sportiva,12026.0,2846476.0,,,
2015,Friuli- Venezia Giulia,regione,Attività sportiva,4881.0,457989.0,,,
2015,Trentino-Alto Adige,regione,Attività sportiva,2507.0,551214.0,,,
2015,Veneto,regione,Attività sportiva,10482.0,1746370.0,,,
2015,Lazio,regione,Attività sportiva,2529.0,2912069.0,,,
2015,Marche,regione,Attività sportiva,6046.0,757893.0,,,
2015,Toscana,regione,Attività sportiva,32277.0,3554431.0,,,
2015,Umbria,regione,Attività sportiva,3358.0,497481.0,,,
2015,Abruzzo,regione,Attività sportiva,2266.0,534104.0,,,
2015,Basilicata,regione,Attività sportiva,460.0,104375.0,,,
2015,Calabria,regione,Attività sportiva,575.0,244609.0,,,
2015,Campania,regione,Attività sportiva,1637.0,1817871.0,,,
2015,Molise,regione,Attività sportiva,352.0,32006.0,,,
2015,Puglia,regione,Attività sportiva,1726.0,1108952.0,,,
2015,Sardegna,regione,Attività sportiva,1180.0,381234.0,,,
2015,Sicilia,regione,Attività sportiva,1392.0,1123856.0,,,
2014,Liguria,regione,Attività sportiva,1953.0,1210962.0,,,
2014,Lombardia,regione,Attività sportiva,35967.0,5781141.0,,,
2014,Piemonte,regione,Attività sportiva,17669.0,2820589.0,,,
2014,Valle d'Aosta,regione,Attività sportiva,351.0,21460.0,,,
2014,Emilia-Romagna,regione,Attività sportiva,11691.0,2708768.0,,,
2014,Friuli- Venezia Giulia,regione,Attività sportiva,5069.0,492277.0,,,
2014,Trentino-Alto Adige,regione,Attività sportiva,2263.0,528070.0,,,
2014,Veneto,regione,Attività sportiva,11134.0,1732445.0,,,
2014,Lazio,regione,Attività sportiva,2487.0,2983386.0,,,
2014,Marche,regione,Attività sportiva,5844.0,691518.0,,,
2014,Toscana,regione,Attività sportiva,31868.0,3454381.0,,,
2014,Umbria,regione,Attività sportiva,3861.0,529753.0,,,
2014,Abruzzo,regione,Attività sportiva,2168.0,489009.0,,,
2014,Basilicata,regione,Attività sportiva,473.0,107809.0,,,
2014,Calabria,regione,Attività sportiva,499.0,295532.0,,,
2014,Campania,regione,Attività sportiva,1583.0,1753145.0,,,
2014,Molise,regione,Attività sportiva,383.0,26260.0,,,
2014,Puglia,regione,Attività sportiva,1801.0,1288231.0,,,
2014,Sardegna,regione,Attività sportiva,1249.0,416820.0,,,
2014,Sicilia,regione,Attività sportiva,1196.0,1106399.0,,,
2013,Liguria,regione,Attività sportiva,1963.0,1202396.0,,,
2013,Lombardia,regione,Attività sportiva,35836.0,5722497.0,,,
2013,Piemonte,regione,Attività sportiva,18581.0,3002435.0,,,
2013,Valle d'Aosta,regione,Attività sportiva,371.0,48255.0,,,
2013,Emilia-Romagna,regione,Attività sportiva,12354.0,2573541.0,,,
2013,Friuli- Venezia Giulia,regione,Attività sportiva,5403.0,590333.0,,,
2013,Trentino-Alto Adige,regione,Attività sportiva,2435.0,606637.0,,,
2013,Veneto,regione,Attività sportiva,11802.0,1757954.0,,,
2013,Lazio,regione,Attività sportiva,2581.0,2706396.0,,,
2013,Marche,regione,Attività sportiva,6236.0,607858.0,,,
2013,Toscana,regione,Attività sportiva,30371.0,3197254.0,,,
2013,Umbria,regione,Attività sportiva,3926.0,438586.0,,,
2013,Abruzzo,regione,Attività sportiva,2332.0,532671.0,,,
2013,Basilicata,regione,Attività sportiva,550.0,46643.0,,,
2013,Calabria,regione,Attività sportiva,477.0,334908.0,,,
2013,Campania,regione,Attività sportiva,1633.0,1863025.0,,,
2013,Molise,regione,Attività sportiva,397.0,25106.0,,,
2013,Puglia,regione,Attività sportiva,1804.0,656764.0,,,
2013,Sardegna,regione,Attività sportiva,1127.0,291443.0,,,
2013,Sicilia,regione,Attività sportiva,1119.0,978644.0,,,
2012,Liguria,regione,Attività sportiva,1802.0,1231756.0,,,
2012,Lombardia,regione,Attività sportiva,32645.0,6269399.0,,,
2012,Piemonte,regione,Attività sportiva,16363.0,2942742.0,,,
2012,Valle d'Aosta,regione,Attività sportiva,279.0,42407.0,,,
2012,Emilia-Romagna,regione,Attività sportiva,13021.0,2506673.0,,,
2012,Friuli- Venezia Giulia,regione,Attività sportiva,4671.0,764088.0,,,
2012,Trentino-Alto Adige,regione,Attività sportiva,2335.0,479220.0,,,
