cluster,numero_regioni,media_spettacoli,mediana_spettacoli,std_spettacoli,media_persone,mediana_persone,std_persone,media_persone_per_spettacolo,mediana_persone_per_spettacolo,std_persone_per_spettacolo,media_resilienza,mediana_resilienza,std_resilienza
0,8,4861.5,3806.5,3837.995057773272,1171899.7916666667,858535.0,1064343.3478963918,258.7334428787896,202.7011767544314,127.721974266681,17.780391584789832,18.60908260418796,3.2382930622471617
1,3,27990.0,30617.0,9048.507691572375,4268429.888888889,3242345.0,1947023.5069389993,153.52926454886872,170.47680497636372,41.810521190201264,20.659512186258205,20.69908475332986,3.027058558509719
2,5,1579.0,1660.0,645.7549414789208,1471870.1333333333,1211609.6666666667,976624.4152806702,879.7514721798443,793.6018489399603,258.71895416073056,25.52345041438252,26.0048426150121,4.4928946361142446
3,4,1031.4166666666667,886.5,878.0021671701929,297829.4166666667,293261.8333333334,320883.6689075705,204.2154011576286,181.7868649420254,165.50442577949806,33.972841860736494,30.90578027840749,9.392138754917278
